Neighborhood,MEDIAN AGE,AGE 65 AND UP,AGE 50 TO 64,AGE 35 TO 49,AGE 19 TO 34,AGE 11 TO 18,AGE 10 OR LESS,FOREIGN BORN POPULATION,SQUARE MILES,FOUR-YEAR DEGREES,LESS THAN HIGH SCHOOL,HIGH SCHOOL DIPLOMA,SOME COLLEGE,BACHELOR'S DEGREE,MASTERS DEGREE OR HIGHER,DIVERSITY INDEX,ASIAN POPULATION,BLACK POPULATION,LATINO POPULATION,WHITE POPULATION,NON-WHITE POPULATION,SINGLE PARENTS,AVERAGE HOUSEHOLD SIZE,HOMEOWNERS,RENTERS,Median Income,"$20,000 or less","$20,000 to $40,000","$40,000 to $60,000","$60,000 to $125,000","$125,000 and up",NEVER MARRIED MALES,NEVER MARRIED FEMALES,MARRIED MALES,MARRIED FEMALES,WIDOWED MALES,WIDOWED FEMALES,DIVORCED MALES,DIVORCED FEMALES,VETERANS,POPULATION TOTAL,POPULATION PER SQMI
San Pedro,34,11.4%,14.8%,23.7%,23.0%,10.1%,17.1%,24.5%,12.1,22.8%,24.4%,21.9%,30.9%,14.9%,7.8%,0.630,4.8%,6.1%,40.8%,44.2%,55.8%,17.5%,2.5,43.9%,56.1%,"$57,508",22.8%,21.9%,16.1%,26.4%,7.2%,33.6%,26.8%,53.7%,49.3%,2.5%,10.1%,10.2%,13.9%,11.0%,"80,065","6,640"
Mid-Wilshire,34,12.4%,12.6%,24.7%,32.4%,6.6%,11.3%,33.9%,2.8,45.2%,14.0%,13.7%,27.1%,29.6%,15.6%,0.755,19.8%,22.7%,19.9%,33.6%,66.4%,15.7%,2.1,21.7%,78.3%,"$58,483",21.9%,22.8%,18.9%,25.0%,7.6%,46.4%,40.4%,43.1%,37.5%,2.2%,9.1%,8.3%,12.9%,6.3%,"41,683","14,988"
Castaic Canyons,34,5.7%,15.1%,28.8%,18.4%,13.4%,18.5%,9.8%,192.7,22.5%,12.6%,23.3%,41.6%,16.5%,6.0%,0.430,3.9%,2.9%,16.5%,73.5%,26.5%,10.8%,3.0,85.6%,14.4%,"$93,248",8.6%,13.7%,15.8%,41.1%,14.7%,26.1%,16.8%,65.1%,68.4%,1.3%,4.6%,7.4%,10.2%,13.0%,"7,757",40
Mission Hills,34,13.9%,12.5%,23.0%,21.0%,11.6%,18.0%,35.2%,3.2,15.9%,30.3%,25.5%,28.3%,12.0%,3.9%,0.615,10.7%,4.0%,53.6%,29.0%,71.0%,9.8%,3.4,78.4%,21.6%,"$75,675",13.4%,19.6%,19.0%,37.9%,7.2%,34.6%,26.4%,55.8%,54.1%,1.6%,11.5%,8.1%,8.0%,9.6%,"18,237","5,721"
Duarte,34,12.0%,14.4%,23.0%,20.7%,11.7%,18.1%,32.9%,6.7,23.6%,25.6%,22.3%,28.5%,16.3%,7.3%,0.687,12.7%,8.7%,43.1%,31.9%,68.1%,13.3%,3.1,71.0%,29.0%,"$68,539",17.8%,21.1%,17.5%,33.6%,7.2%,31.3%,24.9%,58.3%,52.7%,2.5%,10.8%,8.0%,11.7%,8.1%,"21,486","3,212"
Larchmont,34,8.3%,13.9%,26.9%,28.2%,7.7%,14.9%,56.0%,0.5,31.9%,24.9%,18.5%,24.7%,22.3%,9.6%,0.708,30.0%,3.0%,37.2%,24.6%,75.4%,13.9%,2.5,27.1%,72.9%,"$47,780",26.6%,28.2%,16.0%,19.8%,5.2%,42.1%,35.9%,50.2%,47.5%,1.3%,5.7%,6.4%,10.9%,3.5%,"8,631","17,747"
Manchester Square,34,13.1%,15.2%,21.1%,19.3%,13.9%,17.4%,13.2%,1.0,11.7%,29.9%,27.2%,31.2%,8.8%,2.9%,0.346,0.3%,78.6%,19.2%,0.7%,99.3%,25.6%,2.7,57.0%,43.0%,"$46,093",30.6%,22.8%,18.3%,18.7%,3.5%,40.3%,32.8%,45.7%,37.6%,4.4%,13.6%,9.6%,16.0%,10.5%,"11,594","11,449"
Gardena,34,12.6%,13.9%,22.7%,23.9%,9.7%,17.2%,32.8%,5.8,16.6%,26.0%,25.8%,31.6%,12.8%,3.8%,0.748,27.2%,24.5%,31.8%,12.4%,87.6%,16.4%,2.8,47.3%,52.7%,"$52,897",24.2%,25.2%,19.0%,25.1%,3.5%,36.4%,28.6%,53.1%,50.6%,2.2%,9.8%,8.2%,10.9%,9.7%,"57,818","9,894"
Del Aire,33,8.5%,12.3%,26.7%,22.3%,11.2%,18.9%,32.7%,1.0,15.1%,25.1%,25.4%,34.4%,10.8%,4.3%,0.657,8.8%,7.1%,46.4%,33.6%,66.4%,14.7%,3.1,66.4%,33.6%,"$66,442",16.5%,22.5%,19.6%,31.3%,7.9%,35.9%,25.4%,54.5%,55.7%,2.6%,7.7%,7.0%,11.2%,9.2%,"9,039","9,132"
Monrovia,33,10.7%,12.9%,24.3%,22.9%,10.9%,18.2%,21.5%,13.9,25.1%,22.0%,19.6%,33.3%,16.9%,8.2%,0.650,6.8%,8.1%,35.2%,46.2%,53.8%,17.5%,2.7,48.0%,52.0%,"$61,504",18.6%,24.0%,19.1%,26.6%,8.2%,31.8%,26.9%,55.8%,50.1%,2.6%,9.2%,9.8%,13.7%,9.6%,"36,817","2,643"
Artesia,33,12.8%,13.4%,22.5%,22.6%,12.1%,16.5%,45.8%,1.6,18.8%,34.0%,23.4%,23.8%,13.6%,5.2%,0.706,27.6%,3.0%,38.3%,26.1%,73.9%,10.3%,3.4,56.5%,43.5%,"$60,538",16.0%,26.7%,21.7%,26.9%,5.9%,36.0%,26.6%,56.9%,53.1%,2.1%,12.4%,5.0%,8.0%,5.7%,"16,380","10,036"
Hasley Canyon,33,3.4%,10.8%,33.1%,22.0%,12.4%,18.4%,15.3%,3.1,19.8%,17.6%,20.8%,41.7%,15.0%,4.8%,0.547,3.7%,4.7%,27.0%,61.3%,38.7%,9.5%,3.1,90.0%,10.0%,"$106,489",7.9%,9.1%,14.7%,46.1%,21.5%,20.1%,17.3%,68.4%,68.1%,2.4%,2.9%,9.1%,11.7%,9.7%,423,136
Covina,33,10.9%,13.3%,23.9%,22.6%,11.6%,17.7%,20.0%,7.6,19.0%,18.3%,26.4%,36.3%,13.4%,5.6%,0.653,9.8%,4.7%,39.5%,42.2%,57.8%,18.2%,2.9,59.8%,40.2%,"$66,438",17.7%,22.4%,18.8%,31.9%,6.2%,33.8%,25.8%,55.3%,51.9%,2.6%,9.5%,8.3%,12.8%,10.3%,"50,954","6,701"
Carson,33,10.5%,16.1%,21.9%,21.6%,12.8%,17.1%,32.9%,19.1,18.1%,29.4%,21.4%,31.1%,13.7%,4.3%,0.741,24.4%,24.8%,34.9%,12.0%,88.0%,11.3%,3.5,78.0%,22.0%,"$70,645",14.6%,20.5%,21.4%,34.3%,6.5%,35.2%,28.6%,56.9%,53.0%,2.1%,9.3%,5.8%,9.0%,9.8%,"89,549","4,676"
Desert View Highlands,33,6.4%,11.2%,30.9%,16.1%,16.6%,18.7%,16.9%,0.4,17.2%,15.3%,23.9%,43.6%,13.6%,3.6%,0.645,6.8%,10.9%,27.9%,51.0%,49.0%,10.8%,3.3,81.4%,18.6%,"$80,867",11.7%,17.6%,19.6%,44.0%,4.3%,25.5%,21.2%,62.3%,63.1%,2.4%,4.9%,9.8%,10.9%,12.6%,"2,287","5,160"
Elizabeth Lake,33,5.3%,13.1%,29.8%,14.6%,20.2%,17.0%,4.9%,6.3,16.7%,13.3%,26.2%,43.8%,12.1%,4.6%,0.390,0.9%,4.3%,16.2%,76.2%,23.8%,10.6%,2.7,77.4%,22.6%,"$75,951",10.6%,16.2%,19.3%,34.0%,5.2%,30.2%,14.5%,58.3%,66.0%,2.8%,4.7%,8.7%,14.8%,18.4%,"1,379",219
Fairfax,33,14.2%,9.8%,22.6%,36.5%,6.2%,10.7%,23.2%,1.2,54.6%,9.5%,12.8%,23.1%,37.4%,17.2%,0.277,4.5%,2.2%,5.9%,84.7%,15.3%,5.9%,2.0,28.5%,71.5%,"$65,938",21.0%,19.7%,15.9%,28.5%,11.5%,54.9%,45.5%,36.5%,35.9%,3.1%,9.0%,5.6%,9.5%,4.8%,"12,490","10,122"
Hermosa Beach,33,6.8%,13.8%,27.4%,40.5%,4.0%,7.6%,8.1%,1.5,67.6%,2.5%,7.5%,22.3%,44.4%,23.3%,0.272,4.9%,0.7%,6.9%,84.9%,15.1%,7.7%,1.9,42.7%,57.3%,"$109,509",7.6%,12.3%,14.5%,35.8%,26.0%,51.2%,43.2%,37.3%,40.7%,1.3%,5.8%,10.2%,10.3%,9.5%,"18,442","12,481"
Industry,33,17.9%,5.5%,25.4%,23.0%,8.8%,19.4%,27.3%,12.4,12.0%,33.4%,32.1%,22.5%,7.8%,4.2%,0.546,8.9%,1.7%,62.2%,24.0%,76.0%,0.1%,4.6,39.9%,60.1%,"$66,616",13.4%,20.2%,36.0%,37.9%,10.0%,33.7%,19.4%,58.1%,68.4%,3.8%,11.0%,4.5%,1.2%,4.0%,"1,008",82
Lake Hughes,33,5.5%,13.2%,29.8%,14.6%,20.0%,16.9%,4.9%,9.4,16.5%,13.4%,26.4%,43.7%,12.0%,4.6%,0.389,1.0%,4.2%,16.1%,76.3%,23.7%,10.4%,2.7,77.4%,22.6%,"$74,918",11.0%,16.4%,19.5%,33.5%,5.1%,29.8%,14.5%,58.5%,66.0%,2.8%,4.9%,8.8%,14.6%,18.4%,571,61
Mount Washington,33,9.5%,14.7%,23.9%,24.6%,9.9%,17.5%,41.5%,1.9,25.9%,35.3%,16.4%,22.3%,15.9%,10.0%,0.565,12.8%,2.6%,61.2%,20.8%,79.2%,14.7%,2.9,54.9%,45.1%,"$57,725",21.0%,23.3%,16.9%,25.6%,6.5%,40.9%,31.6%,50.5%,50.9%,2.0%,7.7%,6.6%,9.8%,7.1%,"12,728","6,878"
Signal Hill,33,8.7%,12.2%,25.8%,26.0%,10.9%,16.4%,29.0%,2.2,24.6%,21.0%,15.1%,39.3%,16.1%,8.5%,0.737,18.9%,10.6%,29.0%,35.9%,64.1%,25.3%,2.5,46.4%,53.6%,"$66,283",15.1%,21.4%,22.5%,29.8%,6.3%,40.3%,33.1%,46.8%,44.1%,1.4%,8.0%,11.5%,14.9%,10.0%,"9,273","4,171"
Sun Village,32,7.5%,13.9%,26.0%,17.0%,15.0%,20.6%,18.7%,10.2,5.2%,33.9%,25.9%,34.9%,3.9%,1.3%,0.619,0.8%,11.4%,38.8%,46.6%,53.4%,13.0%,3.4,77.7%,22.3%,"$56,175",21.4%,21.7%,15.8%,26.8%,3.3%,28.6%,22.4%,58.3%,63.5%,1.2%,6.8%,11.9%,7.3%,12.8%,"9,375",917
Whittier,32,12.5%,11.7%,22.6%,23.2%,12.2%,17.8%,18.3%,14.7,21.9%,21.2%,23.4%,33.5%,14.4%,7.4%,0.548,3.8%,0.9%,55.8%,37.1%,62.9%,14.9%,2.8,57.8%,42.2%,"$66,891",16.8%,21.6%,20.1%,29.9%,8.9%,33.9%,25.9%,55.5%,52.8%,2.9%,10.5%,7.6%,10.8%,9.7%,"83,838","5,688"
Rosemead,32,10.5%,12.9%,22.6%,24.8%,12.4%,16.7%,56.4%,5.2,12.9%,46.8%,18.9%,21.4%,10.0%,2.9%,0.589,48.6%,0.6%,41.0%,8.0%,92.0%,12.1%,3.7,48.8%,51.2%,"$49,387",24.3%,28.6%,19.3%,21.6%,3.5%,38.2%,31.8%,55.8%,51.5%,2.0%,10.4%,4.0%,6.3%,3.9%,"53,280","10,332"
Sawtelle,32,10.6%,11.5%,22.9%,42.6%,4.9%,7.5%,39.0%,2.7,49.8%,14.6%,12.9%,22.7%,31.4%,18.4%,0.659,19.9%,2.6%,22.8%,49.6%,50.4%,11.3%,1.9,20.2%,79.8%,"$57,710",21.9%,23.3%,19.1%,25.4%,7.0%,52.8%,44.6%,37.6%,36.7%,1.6%,7.5%,8.0%,11.2%,5.3%,"35,844","13,319"
West Covina,32,10.7%,13.8%,22.7%,23.2%,12.1%,17.5%,32.5%,16.1,21.9%,21.8%,22.5%,33.7%,16.3%,5.7%,0.682,22.7%,5.9%,45.5%,23.4%,76.6%,11.5%,3.3,66.6%,33.4%,"$71,898",13.1%,22.0%,20.6%,35.1%,7.3%,33.1%,25.9%,57.9%,55.5%,2.1%,9.4%,6.9%,9.2%,9.5%,"104,893","6,509"
Northridge,32,11.9%,14.0%,21.7%,28.3%,10.7%,13.5%,31.8%,9.5,34.9%,18.3%,16.2%,30.6%,22.5%,12.4%,0.661,14.5%,5.4%,26.1%,49.5%,50.5%,11.8%,2.7,53.6%,46.4%,"$67,906",18.0%,20.8%,18.6%,27.6%,12.4%,37.4%,29.9%,54.5%,53.1%,2.3%,8.1%,5.9%,8.8%,8.5%,"57,561","6,080"
Valley Glen,32,9.5%,11.8%,23.9%,25.5%,11.1%,18.2%,49.0%,4.8,21.3%,33.3%,19.1%,26.2%,13.7%,7.7%,0.632,5.4%,3.9%,45.2%,39.5%,60.5%,16.1%,2.9,37.1%,62.9%,"$46,175",27.1%,28.8%,14.8%,20.5%,5.7%,36.0%,28.5%,55.9%,54.5%,1.6%,7.7%,6.5%,9.2%,5.8%,"59,230","12,325"
Charter Oak,32,8.5%,13.3%,25.6%,21.9%,13.0%,17.7%,17.6%,0.9,17.9%,18.6%,25.0%,38.5%,12.0%,5.9%,0.659,9.8%,4.8%,36.3%,44.2%,55.8%,17.1%,2.9,62.9%,37.1%,"$68,092",16.6%,21.1%,20.7%,34.1%,4.9%,31.3%,23.2%,57.5%,52.3%,1.9%,9.2%,9.3%,15.3%,8.5%,"9,046","9,816"
Santa Fe Springs,32,12.2%,12.2%,21.9%,22.6%,12.5%,18.6%,26.0%,8.9,9.2%,37.1%,28.2%,25.5%,6.9%,2.3%,0.448,3.6%,3.3%,71.6%,19.2%,80.8%,12.6%,3.3,62.7%,37.3%,"$60,445",18.9%,22.9%,25.8%,26.6%,4.5%,35.5%,25.4%,54.5%,53.2%,1.8%,9.9%,8.2%,11.5%,10.9%,"17,834","2,014"
Mayflower Village,32,10.0%,12.9%,24.2%,21.5%,12.2%,19.2%,32.8%,1.2,14.7%,31.9%,22.6%,30.9%,9.8%,4.9%,0.658,10.2%,8.6%,48.4%,29.9%,70.1%,10.6%,3.3,75.9%,24.1%,"$67,592",16.2%,21.6%,23.1%,32.1%,4.3%,29.0%,26.8%,60.7%,55.0%,4.2%,8.8%,6.2%,9.4%,7.7%,"11,649","9,585"
Winnetka,32,8.6%,11.9%,24.6%,26.3%,11.0%,17.6%,41.4%,4.8,21.9%,28.0%,21.1%,28.9%,15.8%,6.1%,0.678,15.5%,4.3%,40.6%,36.1%,63.9%,12.5%,3.1,51.7%,48.3%,"$62,535",18.0%,24.7%,19.0%,29.9%,6.0%,35.8%,28.4%,56.0%,54.3%,1.8%,8.1%,6.5%,9.1%,7.2%,"46,943","9,826"
Santa Clarita,32,6.8%,12.7%,27.6%,21.5%,12.0%,19.4%,16.4%,57.4,29.0%,12.4%,20.1%,38.5%,20.3%,8.7%,0.479,5.2%,2.1%,20.7%,68.8%,31.2%,11.7%,2.9,73.1%,26.9%,"$88,987",10.1%,14.8%,17.5%,40.4%,13.4%,28.6%,22.5%,61.9%,59.4%,1.4%,6.9%,8.0%,11.2%,9.9%,"157,447","2,745"
Reseda,32,9.9%,12.4%,24.3%,24.7%,11.0%,17.8%,43.1%,5.9,19.0%,31.3%,22.5%,27.3%,13.9%,5.0%,0.656,11.2%,4.2%,43.5%,37.2%,62.8%,14.5%,3.0,52.3%,47.7%,"$54,771",20.6%,26.9%,19.0%,25.2%,4.3%,37.0%,27.5%,53.5%,52.8%,2.0%,9.6%,7.5%,10.2%,7.0%,"62,174","10,600"
Stevenson Ranch,32,3.5%,10.2%,30.9%,23.0%,9.2%,23.1%,20.2%,3.1,46.3%,4.2%,15.6%,33.9%,30.9%,15.4%,0.534,13.7%,2.1%,12.9%,65.3%,34.7%,4.9%,2.9,83.9%,16.1%,"$122,833",4.7%,8.5%,12.9%,41.4%,28.0%,20.4%,16.4%,72.8%,72.7%,1.6%,2.5%,5.2%,8.3%,6.7%,"8,609","2,765"
Alondra Park,32,8.6%,11.8%,25.0%,24.6%,9.8%,20.2%,32.1%,1.1,16.8%,25.7%,23.9%,33.5%,11.2%,5.6%,0.748,14.9%,19.0%,34.9%,26.4%,73.6%,19.5%,2.9,51.7%,48.3%,"$57,177",22.4%,22.8%,17.8%,28.3%,4.8%,34.4%,28.4%,52.8%,52.4%,2.4%,9.2%,10.5%,10.0%,11.2%,"8,604","7,548"
Palms,31,6.5%,10.3%,23.5%,42.5%,6.2%,11.0%,40.3%,1.9,45.9%,12.0%,14.6%,27.5%,29.1%,16.7%,0.739,20.4%,12.2%,23.4%,38.3%,61.7%,15.2%,2.0,13.1%,86.9%,"$50,684",22.5%,29.6%,18.8%,21.1%,5.0%,51.9%,45.5%,38.7%,37.7%,1.0%,5.7%,8.5%,11.1%,5.1%,"42,545","21,870"
Mid-City,31,8.3%,12.5%,23.1%,26.0%,12.1%,17.9%,35.1%,3.5,16.8%,35.5%,20.1%,27.7%,11.2%,5.6%,0.637,3.9%,38.3%,45.2%,9.5%,90.5%,23.4%,2.8,31.1%,68.9%,"$43,711",29.4%,27.3%,16.6%,17.3%,4.0%,43.2%,35.0%,47.0%,43.8%,2.1%,9.0%,7.7%,12.2%,6.4%,"52,197","15,051"
East Hollywood,31,8.9%,10.3%,24.3%,27.7%,11.2%,17.6%,66.5%,2.4,13.4%,48.4%,19.5%,18.7%,10.0%,3.4%,0.578,15.5%,2.4%,60.4%,17.5%,82.5%,20.1%,3.0,8.7%,91.3%,"$29,927",43.5%,31.7%,11.7%,8.7%,1.0%,42.6%,33.3%,49.8%,50.9%,1.9%,8.6%,5.7%,7.2%,2.8%,"73,967","31,095"
Montecito Heights,31,9.5%,13.8%,21.0%,26.2%,10.9%,18.4%,41.5%,2.4,24.2%,40.0%,14.5%,21.3%,14.5%,9.7%,0.524,17.1%,2.9%,65.6%,12.1%,87.9%,14.1%,3.0,50.7%,49.3%,"$55,901",23.2%,22.6%,18.4%,24.0%,6.5%,42.3%,33.1%,49.2%,48.3%,2.0%,8.0%,6.5%,10.5%,5.2%,"16,768","6,959"
Montebello,31,12.5%,12.4%,19.7%,25.3%,11.6%,18.5%,38.0%,8.5,14.3%,37.9%,23.9%,23.9%,10.1%,4.2%,0.417,11.4%,0.5%,74.7%,10.9%,89.1%,17.4%,3.2,47.6%,52.4%,"$52,623",23.6%,26.2%,18.9%,23.9%,4.5%,38.4%,30.6%,53.7%,50.1%,2.2%,10.0%,5.8%,9.3%,6.8%,"61,960","7,329"
Chesterfield Square,31,10.5%,11.9%,22.5%,20.1%,14.8%,20.2%,23.4%,0.6,6.0%,39.2%,24.3%,30.5%,4.5%,1.5%,0.520,0.8%,58.6%,36.9%,1.5%,98.5%,29.8%,3.0,50.6%,49.4%,"$37,737",32.9%,27.5%,16.3%,12.7%,1.9%,46.3%,37.1%,43.5%,37.6%,2.4%,11.7%,7.9%,13.6%,7.4%,"6,062","9,571"
Arlington Heights,31,8.6%,11.8%,22.2%,27.2%,11.2%,19.0%,49.8%,1.0,13.9%,46.6%,17.8%,21.7%,10.2%,3.7%,0.600,12.9%,24.5%,56.6%,4.7%,95.3%,23.5%,3.0,18.4%,81.6%,"$31,421",42.4%,25.3%,11.3%,11.8%,4.4%,42.4%,35.9%,49.5%,46.4%,2.3%,9.7%,5.8%,8.0%,5.3%,"22,096","21,423"
Jefferson Park,31,10.8%,11.2%,21.6%,24.5%,12.2%,19.7%,32.7%,1.4,11.8%,41.3%,20.2%,26.7%,8.4%,3.4%,0.577,2.9%,46.8%,44.9%,2.7%,97.3%,26.6%,2.8,30.5%,69.5%,"$32,654",40.3%,26.0%,12.8%,12.1%,2.3%,40.3%,37.6%,49.7%,41.4%,2.9%,9.5%,7.1%,11.5%,7.5%,"23,130","16,300"
Lake View Terrace,31,7.8%,13.3%,23.2%,22.7%,13.8%,19.1%,32.4%,4.2,16.4%,38.0%,21.2%,24.4%,11.6%,4.8%,0.636,5.3%,17.1%,53.0%,22.3%,77.7%,12.3%,3.6,74.7%,25.3%,"$67,985",15.5%,20.5%,20.8%,32.7%,7.5%,38.5%,30.0%,50.8%,52.4%,2.1%,8.4%,8.5%,9.3%,8.0%,"11,803","2,790"
Lancaster,31,8.9%,11.4%,24.0%,21.6%,14.3%,19.7%,12.9%,102.4,15.9%,21.5%,26.0%,36.6%,10.3%,5.6%,0.638,3.9%,15.4%,24.1%,52.6%,47.4%,21.7%,2.9,61.4%,38.6%,"$56,069",21.8%,22.4%,19.1%,23.9%,4.4%,32.8%,26.0%,54.2%,51.7%,2.2%,9.1%,10.8%,13.2%,15.4%,"120,783","1,180"
Downey,31,11.2%,12.2%,21.5%,24.5%,12.6%,18.1%,35.3%,12.5,17.3%,27.7%,24.9%,30.1%,11.9%,5.4%,0.577,7.4%,3.5%,57.8%,28.6%,71.4%,16.1%,3.1,51.8%,48.2%,"$61,839",18.8%,23.1%,21.0%,28.2%,6.7%,34.1%,27.2%,56.5%,52.4%,2.6%,9.9%,6.9%,10.5%,7.9%,"107,323","8,566"
Hollywood,31,8.9%,10.4%,23.5%,36.9%,7.6%,12.7%,53.8%,3.5,27.5%,31.7%,17.5%,23.3%,19.5%,8.0%,0.644,7.1%,5.2%,42.2%,41.0%,59.0%,17.8%,2.1,7.6%,92.4%,"$33,694",39.6%,28.4%,13.4%,12.1%,2.7%,55.1%,39.8%,37.1%,41.8%,1.4%,9.6%,6.4%,8.8%,4.5%,"77,818","22,193"
Avalon,31,9.8%,13.0%,22.7%,22.9%,13.2%,18.4%,24.6%,2.7,20.2%,24.4%,24.3%,31.0%,13.9%,6.3%,0.543,1.5%,0.3%,45.8%,49.6%,50.4%,19.9%,2.6,27.2%,72.8%,"$53,200",11.8%,20.0%,12.4%,14.3%,3.9%,36.4%,23.8%,53.9%,51.1%,1.2%,10.9%,8.4%,14.1%,10.6%,"3,181","1,159"
Pico Rivera,31,11.3%,12.0%,20.6%,23.6%,13.4%,19.1%,33.9%,8.8,7.1%,44.9%,26.0%,22.0%,5.1%,2.0%,0.221,2.5%,0.5%,87.9%,7.5%,92.5%,13.1%,3.7,70.1%,29.9%,"$56,683",22.5%,24.3%,21.0%,26.8%,3.5%,35.3%,29.8%,55.6%,52.6%,2.6%,10.0%,6.5%,7.6%,8.0%,"63,151","7,187"
Castaic,31,2.2%,7.4%,32.5%,36.4%,9.2%,12.2%,17.5%,5.5,19.0%,20.7%,26.6%,33.7%,15.1%,4.0%,0.654,5.5%,13.2%,32.2%,47.0%,53.0%,8.0%,3.2,87.5%,12.5%,"$108,693",5.8%,9.7%,12.9%,50.7%,18.5%,8.7%,17.2%,80.0%,72.6%,4.1%,2.3%,7.2%,7.8%,8.8%,"16,843","3,076"
Long Beach,31,9.0%,11.5%,22.6%,26.3%,11.4%,19.2%,28.6%,52.1,23.9%,27.3%,18.8%,30.0%,15.8%,8.2%,0.723,12.9%,14.4%,35.7%,33.3%,66.7%,22.1%,2.7,41.2%,58.8%,"$50,985",25.7%,24.1%,16.2%,22.6%,6.6%,41.3%,33.7%,47.4%,45.8%,2.2%,9.2%,9.0%,11.2%,9.5%,"462,731","8,882"
Hyde Park,31,10.3%,13.7%,21.7%,22.2%,12.9%,19.3%,19.5%,2.9,12.3%,31.2%,23.0%,33.6%,8.7%,3.5%,0.488,1.1%,66.0%,27.3%,2.0%,98.0%,28.5%,2.8,46.7%,53.3%,"$39,460",32.1%,25.9%,15.2%,16.3%,2.4%,41.0%,37.1%,46.9%,36.9%,3.2%,11.0%,8.9%,15.0%,8.8%,"36,635","12,700"
Elysian Valley,31,8.6%,13.3%,22.4%,24.7%,13.7%,17.3%,47.5%,0.8,17.1%,45.3%,16.9%,20.8%,11.6%,5.4%,0.552,25.6%,1.1%,61.0%,9.7%,90.3%,14.2%,3.4,47.8%,52.2%,"$49,013",24.0%,26.8%,20.6%,18.1%,3.8%,35.8%,35.1%,57.5%,50.1%,2.6%,8.6%,4.2%,6.2%,4.3%,"7,387","9,354"
Elysian Park,31,9.1%,13.3%,22.8%,22.1%,13.8%,19.0%,54.4%,1.6,13.0%,55.5%,16.5%,15.0%,8.2%,4.8%,0.582,43.4%,2.1%,47.6%,3.1%,96.9%,18.4%,3.1,18.1%,81.9%,"$28,263",50.0%,29.5%,10.0%,11.1%,3.3%,41.8%,33.0%,48.4%,50.1%,0.8%,11.0%,9.1%,6.0%,4.1%,"2,530","1,538"
Harbor City,30,7.8%,11.2%,22.6%,27.2%,10.7%,20.5%,36.2%,2.6,18.1%,29.2%,21.8%,30.9%,13.3%,4.8%,0.674,14.1%,10.7%,48.1%,25.1%,74.9%,18.6%,2.9,45.6%,54.4%,"$55,454",23.1%,23.6%,18.6%,25.6%,5.2%,35.2%,30.3%,55.5%,52.3%,2.6%,7.3%,6.7%,10.1%,8.3%,"23,561","9,127"
Koreatown,30,6.2%,10.9%,23.2%,33.6%,8.3%,17.7%,68.0%,2.7,21.4%,40.9%,19.7%,18.0%,15.9%,5.5%,0.602,32.2%,4.8%,53.5%,7.4%,92.6%,19.7%,2.7,7.0%,93.0%,"$30,558",42.6%,30.6%,12.2%,8.7%,2.2%,44.6%,36.2%,48.7%,49.3%,1.4%,6.7%,5.4%,7.8%,3.3%,"115,070","42,611"
Glassell Park,30,8.1%,12.4%,21.3%,26.6%,11.7%,19.8%,51.5%,2.8,19.7%,41.9%,16.0%,22.4%,13.6%,6.1%,0.513,17.4%,1.4%,66.1%,13.7%,86.3%,16.6%,3.3,43.8%,56.2%,"$50,098",23.5%,27.8%,18.6%,20.2%,5.3%,39.5%,32.8%,52.8%,52.2%,1.5%,8.4%,6.2%,6.6%,4.8%,"23,467","8,524"
Echo Park,30,8.1%,11.5%,21.7%,29.3%,10.8%,18.6%,53.1%,2.4,18.0%,48.0%,16.1%,17.8%,12.3%,5.7%,0.538,18.8%,2.0%,64.0%,12.9%,87.1%,20.5%,3.0,24.0%,76.0%,"$37,708",33.0%,28.8%,14.2%,14.1%,3.4%,46.8%,38.3%,46.0%,46.3%,2.0%,7.6%,5.2%,7.9%,3.5%,"40,455","16,868"
Harvard Heights,30,8.0%,11.3%,22.6%,27.7%,11.7%,18.8%,57.8%,0.8,10.3%,56.0%,16.9%,16.8%,7.4%,2.9%,0.517,13.3%,16.0%,66.3%,3.3%,96.7%,23.1%,3.2,15.7%,84.3%,"$31,173",42.2%,27.9%,12.3%,10.4%,1.9%,42.8%,34.0%,50.0%,48.2%,1.7%,8.8%,5.5%,8.9%,3.8%,"18,587","23,473"
Avocado Heights,30,9.3%,12.8%,20.4%,25.0%,13.0%,19.4%,37.1%,2.9,9.1%,43.3%,21.8%,25.8%,6.6%,2.5%,0.362,8.5%,0.7%,78.7%,11.0%,89.0%,12.1%,3.9,72.3%,27.7%,"$64,544",16.4%,23.2%,22.4%,30.3%,6.2%,37.5%,29.9%,55.4%,55.6%,2.1%,8.0%,5.0%,6.5%,7.1%,"17,415","5,907"
North Hollywood,30,6.7%,9.7%,23.4%,30.9%,10.3%,19.0%,46.4%,5.9,18.5%,39.8%,18.3%,23.4%,13.4%,5.1%,0.586,5.7%,5.6%,57.7%,27.0%,73.0%,19.6%,2.8,24.6%,75.4%,"$42,791",29.3%,30.7%,17.7%,16.4%,3.2%,43.8%,34.8%,46.8%,47.0%,1.8%,8.2%,7.6%,10.0%,5.1%,"77,848","13,264"
